path_id,n_pairs,n_success,n_missing_F_or_R,n_failed_parse,avg_efficiency
0,12,12,0,0,1.9174999999999998
1,12,12,0,0,1.8183333333333334
2,12,12,0,0,1.9766666666666666
3,12,12,0,0,1.7625
4,12,12,0,0,1.7841666666666667
5,12,12,0,0,1.9583333333333333
6,12,12,0,0,1.9583333333333333
7,12,12,0,0,1.875
8,12,12,0,0,1.8950000000000002
9,12,12,0,0,1.925
10,12,12,0,0,1.875
11,12,12,0,0,1.9166666666666667
12,12,12,0,0,1.9166666666666667
13,12,12,0,0,1.875
14,12,12,0,0,1.7225000000000001
15,12,12,0,0,1.9400000000000002
16,12,12,0,0,1.8499999999999999
17,12,12,0,0,1.7916666666666667
18,12,12,0,0,1.9166666666666667
19,12,12,0,0,1.875
20,12,12,0,0,1.9166666666666667
21,12,12,0,0,1.9941666666666666
22,12,12,0,0,2.0
23,12,12,0,0,1.905
24,12,12,0,0,1.9141666666666666
25,12,12,0,0,1.9166666666666667
26,12,12,0,0,1.875
27,12,12,0,0,1.8333333333333333
28,12,12,0,0,1.7816666666666665
29,12,12,0,0,1.75
30,12,12,0,0,1.8758333333333332
31,12,12,0,0,1.8558333333333332
32,12,12,0,0,1.8333333333333333
33,12,12,0,0,1.8333333333333333
34,12,12,0,0,1.9166666666666667
35,12,12,0,0,1.8333333333333333
36,12,12,0,0,1.75
37,12,12,0,0,1.8950000000000002
38,12,12,0,0,1.8608333333333331
39,12,12,0,0,1.9541666666666666
40,12,12,0,0,1.8333333333333333
41,12,12,0,0,1.7491666666666668
42,12,12,0,0,1.9241666666666666
43,12,12,0,0,1.8166666666666667
44,12,12,0,0,1.8808333333333334
45,12,12,0,0,1.8141666666666667
46,12,12,0,0,1.8675
47,12,12,0,0,1.8333333333333333
48,12,12,0,0,1.7916666666666667
49,12,12,0,0,1.8083333333333333
50,12,12,0,0,1.8783333333333332
51,12,12,0,0,1.9166666666666667
52,12,12,0,0,1.875
53,12,12,0,0,1.8141666666666667
54,12,12,0,0,1.9166666666666667
55,12,12,0,0,1.9166666666666667
56,12,12,0,0,1.9166666666666667
57,12,12,0,0,1.8766666666666667
58,12,12,0,0,1.9083333333333332
59,12,12,0,0,1.9433333333333334
60,12,12,0,0,1.875
61,12,12,0,0,1.9033333333333333
62,12,12,0,0,1.7833333333333332
63,12,12,0,0,1.875
64,12,12,0,0,1.8458333333333332
65,12,12,0,0,1.9166666666666667
66,12,12,0,0,1.9008333333333336
67,12,12,0,0,1.9166666666666667
68,12,12,0,0,1.9008333333333336
69,12,12,0,0,1.89
70,12,12,0,0,1.9583333333333333
71,12,12,0,0,1.875
72,12,12,0,0,1.9166666666666667
73,12,12,0,0,1.8333333333333333
74,12,12,0,0,1.9583333333333333
75,12,12,0,0,1.8333333333333333
76,12,12,0,0,1.9583333333333333
77,12,12,0,0,1.875
78,12,12,0,0,1.875
79,12,12,0,0,1.9166666666666667
80,12,12,0,0,1.8633333333333333
81,12,12,0,0,1.9166666666666667
82,12,12,0,0,1.8741666666666665
83,12,12,0,0,1.9166666666666667
84,12,12,0,0,1.9033333333333333
85,12,12,0,0,1.875
86,12,12,0,0,1.8333333333333333
