protein_name,seq_length,graph_nodes,graph_edges,graph_time_sec,graph_peak_mem_MB,ilp_num_vars,ilp_num_constraints,ilp_setup_time_sec,ilp_setup_peak_mem_MB,ilp_optimize_time_sec,ilp_optimize_peak_mem_MB,ilp_objective,ilp_status,ilp_path_length,greedy_objective,greedy_time_sec,greedy_path_length
SPAP,226,4414,315096,8.851,135.8,315096,13826,96.083,209.3,83.75,9.2,4.492318663311506,2,14,3.3648417378958158,2.135,12
SPAP,326,6898,534739,13.73,234.2,534739,20938,160.269,365.8,144.842,15.5,7.413230927672133,2,18,6.517853842086839,3.779,18
SPAP,426,8479,656964,17.026,289.6,656964,25879,197.49,429.4,176.372,19.1,8.985878936983148,2,24,6.884913061572091,3.924,22
SPAP,526,10475,818759,22.481,362.6,818759,32045,239.843,597.7,206.24,23.8,10.48464023833896,2,26,9.748756823375176,6.155,24
SPAP,626,13049,1046653,28.511,467.5,1046653,39371,317.246,717.4,267.386,30.4,13.162760437214128,2,30,12.794086723764034,8.021,30
SPAP,726,15353,1236587,33.521,553.6,1236587,46222,370.814,816.9,304.709,35.9,15.029298973683877,2,36,13.63489403675191,8.789,32
SPAP,826,17990,1465890,40.683,656.8,1465890,53740,438.011,1102.4,367.835,42.5,17.30900567596344,2,38,16.449987503932043,10.176,36
SPAP,926,20564,1693784,48.201,759.3,1693784,61066,522.992,1221.8,434.526,49.1,19.630617181343098,2,42,19.630617181343098,13.835,42
SPAP,1026,23138,1921611,56.355,863.8,1921611,68392,605.015,1344.6,495.764,55.7,21.025522714918264,2,46,19.397068069468165,13.756,44
SPAP,1126,25790,2155190,64.357,968.8,2155190,75940,667.951,1466.4,543.432,62.5,23.196934565217184,2,50,22.059710921065943,18.133,48
SPAP,1226,28364,2383084,70.237,1071.3,2383084,83266,761.74,1583.1,618.417,69.0,24.712494904925542,2,54,23.87471041624889,18.912,54
SPAP,1326,30938,2610911,78.321,1173.8,2610911,90592,816.784,1701.9,652.773,75.6,26.700661416534366,2,58,24.959915863507817,17.954,56
SPAP,1426,33590,2844490,93.953,1281.3,2844490,98140,923.643,2159.8,892.611,82.4,28.391184294741137,2,60,26.876572128077516,26.999,60
SPAP,1526,36164,3072384,97.854,1383.8,3072384,105466,962.115,2279.5,776.615,89.0,31.082375122739016,2,66,29.006453658915465,22.82,64
SPAP,1626,38738,3300211,113.478,1486.4,3300211,112792,1042.251,2396.1,829.106,95.6,32.72962382423955,2,70,31.309314303134443,28.414,68
