protein_name,seq_length,graph_nodes,graph_edges,graph_time_sec,graph_peak_mem_MB,ilp_num_vars,ilp_num_constraints,ilp_setup_time_sec,ilp_setup_peak_mem_MB,ilp_optimize_time_sec,ilp_optimize_peak_mem_MB,ilp_objective,ilp_status,ilp_path_length,greedy_objective,greedy_time_sec,greedy_path_length
CXAR,1378,25010,2087043,68.763,938.4,2087043,73720,683.844,1429.4,523.349,60.5,13.720844288017563,2,48,13.720844288017561,16.594,48
SHP2,2074,43106,3686219,121.854,1660.8,3686219,125224,1192.116,2596.9,1118.586,106.7,24.803923515303005,2,74,23.645053783292678,33.28,74
ICAM1,1879,38036,3238174,104.315,1458.3,3238174,110794,1045.937,2364.1,852.143,93.8,30.972477105209826,2,70,30.007777375398188,24.997,68
CIP1,1114,18146,1480459,45.025,663.3,1480459,54184,499.406,1109.8,373.996,43.0,11.656824373330188,2,38,10.362544145025776,10.129,36
PGAP4,1492,27974,2348977,74.736,1056.0,2348977,82156,776.219,1565.6,582.301,68.1,23.94991415935181,2,52,23.949914159351813,21.092,52
CD209,1495,28052,2355870,72.127,1059.1,2355870,82378,782.651,1569.0,585.039,68.3,28.50660890971624,2,54,26.93677122974614,16.396,52
DAF,1426,26258,2197331,64.724,987.8,2197331,77272,725.556,1487.8,549.651,63.7,17.357657286608614,2,52,17.357657286608614,16.19,52
RSSA,1168,19550,1604533,45.662,719.1,1604533,58180,519.618,1174.5,403.193,46.5,15.965622497786105,2,40,15.475632144359892,12.345,40
TPD52,955,14027,1119406,32.679,500.4,1119406,42448,362.255,756.2,275.517,32.5,10.119287953946905,2,30,9.03238157896846,7.997,30
GCK,1674,32732,2769092,88.362,1244.9,2769092,95698,896.761,1785.7,707.834,80.2,25.880202540491013,2,60,25.880202540491013,22.841,60
